ANGLE	angle-between;
ENERGY-SET	energy;total-energy;kinetic-energy;grav-energy;rotational-energy;spring-energy;electric-energy;
POTENTIAL	net-potential;
VOLTAGE	voltage-across;
WORK-SET	work;net-work;work-nc;
DIPOLE	dipole-energy;
KINEMATICS	angle-between;distance;speed;duration;angle;
STATICS	angle-between;mass;angle;coef-friction;duration;spring-constant;compression;
DYNAMICS	angle-between;mass;angle;coef-friction;duration;
CHANGING-MASS	mass;mass-change-magnitude;
CIRCULAR	angle-between;mass;revolution-radius;period;duration;angle;
ENERGY	work-nc;net-work;work;electric-energy;spring-energy;rotational-energy;grav-energy;kinetic-energy;total-energy;energy;energy-set;work-set;mass;duration;power;compression;spring-constant;height;
WORK	work-nc;net-work;work;angle-between;work-set;power;net-power;duration;angle;
WORK-QUANTS	work-nc;net-work;work;angle-between;work-set;power;net-power;duration;angle;intensity;db-intensity;area;
WORK-QUANTS-OUT	work-nc;net-work;work;angle-between;work-set;net-power-out;duration;angle;intensity;net-intensity;db-intensity;net-db-intensity;
LINMOM	electric-energy;spring-energy;rotational-energy;grav-energy;kinetic-energy;total-energy;energy;energy-set;mass;duration;
ROTKIN	angle-between;mass;revolution-radius;period;duration;angle;moment-of-inertia;
ANGMOM	angle-between;mass;period;duration;angle;moment-of-inertia;
TORQUE	angle-between;mass;period;duration;angle;moment-of-inertia;
CIRCUITS	voltage-across;electric-power;current;voltage;resistance;capacitance;charge-on;stored-energy;self-inductance;mutual-inductance;current-change;time-constant;duration;
E&M	net-potential;angle-between;charge-on;current;potential;duration;length;turns;turns-per-length;angle;electric-flux;magnetic-flux;electric-flux-change;magnetic-flux-change;
NUMBER-OF-PARTICLES	charge-on;mass;number-of;
GAUSS	charge-in;electric-flux;magnetic-flux;
AMPERE	current;magnetic-line-integral;
EM-WAVES	amplitude-electric;amplitude-magnetic;
SIMPLE-WORK	intensity-at;
OPTICS	angle-between;object-distance;image-distance;distance-between;slit-separation;focal-length;magnification;radius-of-curvature;index-of-refraction;angle;resolution-angle;
FLUIDS	mass;duration;height;mass-density;pressure;area-at;area;volume;atmosphere;
RECTANGLE-GEOMETRY	area;area-change;length;width;length-change;
CIRCLE-GEOMETRY	area;radius-of-circle;diameter-of-circle;circumference-of-circle;
WAVES	frequency;distance;duration;mass;length;mass-per-length;wavelength;wavenumber;period;angular-frequency;wave-speed;index-of-refraction;string-tension;
OBSERVED-FREQUENCY	observed-frequency;
OSCILLATIONS	mass;length;spring-constant;compression;wavelength;wavenumber;period;frequency;angular-frequency;amplitude;amplitude-max-speed;amplitude-max-abs-acceleration;
PROBABILITY	probability;
MULTIPLE-PLANETS	gravitational-acceleration;
